Pos,Team,Pld,W,L,PF,PA,PD
1,Fenerbahçe Beko,30,25,5,2504,2237,267
2,CSKA Moscow,30,24,6,2590,2397,193
3,Real Madrid,30,22,8,2578,2342,236
4,Anadolu Efes,30,20,10,2562,2406,156
5,Barcelona Lassa,30,18,12,2358,2282,76
6,Panathinaikos OPAP,30,16,14,2382,2345,37
7,Kirolbet Baskonia,30,15,15,2449,2378,71
8,Žalgiris,30,15,15,2360,2323,37
9,Olympiacos,30,15,15,2326,2301,25
10,Maccabi FOX Tel Aviv,30,14,16,2376,2346,30
11,Bayern Munich,30,14,16,2348,2404,−56
12,AX Armani Exchange Olimpia,30,14,16,2601,2600,1
13,Khimki,30,9,21,2333,2449,−116
14,Herbalife Gran Canaria,30,8,22,2317,2616,−299
15,Budućnost VOLI,30,6,24,2230,2550,−320
16,Darüşşafaka Tekfen,30,5,25,2238,2576,−338
